zirconia	I_GEMSTONE
An	O
irresist	O
pair	O
of	O
contemporari	O
22kt	O
gold	B_BASE_MATERIAL
ear	O
embellish	O
with	O
two	O
bright	O
gemston	O
.	O
craft	O
in	O
filigre	O
work	O
,	O
thi	O
drop	B_TYPE
ear	I_TYPE
design	O
is	O
made	O
of	O
lead	O
nickel	O
free	O
,	O
best	O
qualiti	O
brass	B_BASE_MATERIAL
.	O
thi	O
red	B_COLOR
,	O
white	O
colour	O
jewelri	O
design	O
will	O
best	O
meet	O
your	O
wed	O
festiv	O
requir	O
.	O
In	O
term	O
of	O
their	O
back	O
type	O
or	O
lock	O
type	O
,	O
these	O
drop	B_TYPE
ear	I_TYPE
have	O
a	O
push	B_EARRING_BACK_TYPE
back	I_EARRING_BACK_TYPE
type	O
.	O
the	O
length	O
of	O
these	O
drop	B_TYPE
ear	I_TYPE
is	O
6	O
.	O
5	O
cm	O
and	O
weight	O
is	O
approx	O
19	O
gram	O
.	O
keep	O
thi	O
jewelleri	O
in	O
a	O
clean	O
and	O
dri	O
airtight	O
box	O
.	O
wipe	O
it	O
use	O
a	O
soft	O
cloth	O
regularli	O
.	O
avoid	O
contact	O
with	O
perfum	O
,	O
spray	O
,	O
chemic	O
and	O
water	O
.	O
grace	O
pair	O
Of	O
stud	B_TYPE
ear	I_TYPE
On	O
sterl	O
silver	B_BASE_MATERIAL
materi	O
which	O
Is	O
embellish	O
with	O
6mm	O
light	O
green	O
color	O
Cz	O
stone	O
which	O
give	O
A	O
classic	O
look	O
To	O
the	O
jewelleri	O
.	O
pair	O
thi	O
jewelleri	O
with	O
ani	O
Of	O
your	O
outfit	O
for	O
that	O
dainti	O
look	O
In	O
your	O
person	O
.	O
stud	B_TYPE
ear	I_TYPE
appeal	O
with	O
the	O
fresh	O
of	O
live	O
green	O
peridot	O
oval	O
accent	O
with	O
CZ	O
round	O
.	O
craft	O
in	O
18kt	O
gold	O
over	O
sterl	B_BASE_MATERIAL
silver	I_BASE_MATERIAL
these	O
peridot	O
ear	O
with	O
CZ	O
are	O
are	O
perfect	O
for	O
august	O
birthday	O
gift	O
and	O
16th	O
anniversari	O
gift	O
.	O
craft	O
by	O
RJ	O
,	O
rejuven	B_BRAND
jewel	I_BRAND
handmad	O
golden	O
wing	O
with	O
multicolour	B_COLOR
acryl	O
flower	O
ear	O
it	O
pleas	O
and	O
grace	O
and	O
can	O
be	O
worn	O
day	O
to	O
day	O
as	O
well	O
as	O
to	O
formal	O
occass	O
.	O
pick	O
thi	O
piec	O
to	O
add	O
new	O
definit	O
to	O
your	O
tradit	O
or	O
western	O
outfit	O
.	O
these	O
contemporari	B_MODEL_NAME
cute	I_MODEL_NAME
cat'	O
stud	O
is	O
adorn	O
your	O
personalti	O
.	O
these	O
ear	O
is	O
made	O
by	O
genuin	O
925	O
sterl	O
silver	B_BASE_MATERIAL
rhodium	B_PLATING
plate	O
make	O
it	O
more	O
glossi	O
and	O
shini	O
.	O
We	O
are	O
use	O
high	O
qualiti	O
cubic	B_GEMSTONE
zirconia	I_GEMSTONE
to	O
make	O
stud	O
more	O
sparkl	O
.	O
it'	O
a	O
nice	O
option	O
for	O
gift	O
.	O
adorn	O
thi	O
beauti	O
pair	O
of	O
ear	O
from	O
the	O
hous	O
of	O
traditsiya	B_BRAND
to	O
stand	O
out	O
in	O
the	O
crowd	O
and	O
to	O
flaunt	O
your	O
stylish	O
side	O
.	O
creat	O
with	O
high	O
qualiti	O
metal	O
,	O
these	O
ear	O
are	O
skin	O
friendli	O
.	O
look	O
an	O
absolut	O
stunner	O
when	O
you	O
pair	O
up	O
thi	O
ear	O
with	O
ani	O
indian	O
attir	O
includ	O
salwaar	O
kameez	O
,	O
anarkali	O
or	O
a	O
sare	O
.	O
size	O
H	O
80mm	O
W	O
40mm	O
color	O
purpl	B_COLOR
,	O
silver	O
eloini	B_BRAND
AD	O
jewel	O
ethnic	O
ear	O
jwelleri	O
is	O
ladi	O
ultim	O
treasur	O
.	O
thi	O
artifici	O
jewelleri	O
ear	O
from	O
teestadka	B_BRAND
add	O
A	O
perfect	O
spark	O
To	O
your	O
outfit	O
.	O
thi	O
contemporari	B_COLLECTION
yet	O
modern	O
ear	O
In	O
ganga	O
yamuna	O
finish	O
made	O
In	O
alloy	B_BASE_MATERIAL
is	O
stud	O
with	O
CZ	O
american	O
diamond	O
,	O
and	O
minakari	O
.	O
pair	O
thi	O
with	O
A	O
match	O
sare	O
Or	O
salwar	O
kurti	O
Or	O
dress	O
To	O
Be	O
A	O
head	O
turner	O
.	O
iren	B_BRAND
14k	O
rose	O
gold	O
plate	O
ear	O
with	O
moon	O
gemston	O
for	O
women	B_IDEAL_FOR
adorn	O
thi	O
beauti	O
pair	O
of	O
ear	O
from	O
the	O
hous	O
of	O
traditsiya	B_BRAND
to	O
stand	O
out	O
in	O
the	O
crowd	O
and	O
to	O
flaunt	O
your	O
stylish	O
side	O
.	O
creat	O
with	O
high	O
qualiti	O
metal	O
,	O
these	O
ear	O
are	O
skin	O
friendli	O
.	O
look	O
an	O
absolut	O
stunner	O
when	O
you	O
pair	O
up	O
thi	O
ear	O
with	O
ani	O
indian	O
attir	O
includ	O
salwaar	O
kameez	O
,	O
anarkali	O
or	O
a	O
sare	O
.	O
height	O
60mm	O
width	O
20mm	O
color	O
maroon	O
look	O
charm	O
with	O
thi	O
pair	O
of	O
dangler	B_TYPE
ear	I_TYPE
embellish	O
with	O
shini	O
long	O
tassel	O
in	O
appeal	O
design	B_COLLECTION
along	O
with	O
red	O
enamel	O
work	O
.	O
wear	O
thi	O
pair	O
with	O
your	O
favorit	O
attir	O
and	O
amaz	O
yourself	O
everyon	O
els	O
.	O
silver	O
gold	B_MODEL_NAME
plate	I_MODEL_NAME
stud	O
with	O
red	O
and	O
green	O
stone	O
and	O
gold	O
drop	O
.	O
It	O
is	O
veri	O
rich	O
in	O
design	O
and	O
it	O
can	O
be	O
use	O
for	O
daili	O
purpos	O
as	O
well	O
as	O
for	O
all	O
occass	O
.	O
It	O
is	O
easi	O
to	O
carri	O
and	O
light	O
weight	O
.	O
wear	O
your	O
shine	O
by	O
avanishk	B_BRAND
jewel	I_BRAND
featur	O
an	O
expert	O
curat	O
of	O
fine	O
jewelleri	O
piec	O
that	O
are	O
express	O
.	O
these	O
piec	O
are	O
design	O
to	O
becom	O
the	O
newest	O
keepsak	O
in	O
your	O
life	O
!	O
thi	O
classi	O
design	O
red	O
green	O
polki	O
ear	O
is	O
sure	O
to	O
make	O
you	O
stand	O
out	O
from	O
the	O
crowd	O
.	O
wear	O
it	O
with	O
your	O
dressi	O
anarkali	O
salwar	O
kameez	O
or	O
a	O
design	O
sare	O
.	O
thi	O
jewelleri	O
belong	O
to	O
adiva	B_BRAND
s	O
the	O
princess	O
of	O
india	O
collect	O
.	O
the	O
collect	O
bring	O
to	O
life	O
the	O
magnific	O
,	O
gorgeou	O
piec	O
of	O
jewelleri	O
adorn	O
beauti	O
indian	O
princess	O
queen	O
.	O
It	O
take	O
us	O
back	O
to	O
the	O
page	O
of	O
our	O
histori	O
book	O
,	O
legendari	O
palac	O
and	O
the	O
era	O
of	O
royal	O
famili	O
.	O
So	O
pick	O
one	O
of	O
these	O
delic	O
craft	O
jewelleri	O
discov	O
a	O
gloriou	O
,	O
eleg	O
enchant	O
indian	O
princess	O
in	O
you	O
care	O
instruct	O
keep	O
it	O
dust	O
free	O
dirt	O
free	O
in	O
a	O
plastic	B_PEARL_TYPE
pouch	O
.	O
rememb	O
to	O
appli	O
your	O
hairspray	O
,	O
perfum	O
,	O
and	O
cosmet	O
befor	O
put	O
your	O
jewelleri	O
on	O
care	O
hand	O
pick	O
for	O
a	O
stylish	O
you	O
.	O
from	O
the	O
hous	O
of	O
adiva	B_BRAND
.	O
size	O
5	O
cm	O
materi	O
use	O
copper	O
color	O
red	O
green	O
sparkl	B_BRAND
0	O
.	O
27ct	O
diamond	B_GEMSTONE
ear	O
in	O
18	O
Kt	O
gold	B_BASE_MATERIAL
real	O
diamond	B_GEMSTONE
chand	O
bali	O
with	O
meenakari	O
work	O
rama	O
green	B_COLOR
.	O
feel	O
the	O
refresh	O
magic	O
by	O
sport	O
thi	O
allur	O
pair	O
of	O
star	O
shape	O
ear	O
fine	O
craft	O
in	O
green	B_COLOR
glass	O
.	O
thi	O
design	O
will	O
sure	O
bring	O
you	O
shower	O
of	O
prais	O
!	O
chand	O
bali	O
with	O
meenakari	O
work	O
.	O
deepika	O
padukon	O
inspir	O
eleg	O
gold	O
plate	O
with	O
stone	O
stud	O
meenakari	O
drop	O
ear	O
size	O
0	O
.	O
8	O
x	O
0	O
.	O
8	O
cm	O
(	O
height	O
x	O
width	O
,	O
of	O
squar	B_DESIGN
)	O
approx	O
.	O
thick	O
of	O
squar	B_DESIGN
0	O
.	O
1	B_NUMBER_OF_PAIRS
cm	O
approx	O
.	O
diamet	O
of	O
magnet	O
0	O
.	O
5	O
cm	O
approx	O
.	O
thick	O
of	O
magnet	O
0	O
.	O
1	B_NUMBER_OF_PAIRS
cm	O
approx	O
.	O
can	O
be	O
use	O
by	O
anyon	O
have	O
pierc	O
or	O
non	O
pierc	O
ear	O
.	O
stylish	O
as	O
per	O
latest	O
trend	O
for	O
boy	O
and	O
girl	O
.	O
kundan	B_MODEL_NAME
ear	I_MODEL_NAME
in	I_MODEL_NAME
rubi	I_MODEL_NAME
color	I_MODEL_NAME
with	I_MODEL_NAME
golden	I_MODEL_NAME
polish	I_MODEL_NAME
theme	O
kundan	O
polish	O
golden	O
color	O
rubi	O
lustrou	O
and	O
appeal	O
pair	O
of	O
stud	B_TYPE
ear	I_TYPE
craft	O
from	O
18k	O
hallmark	O
gold	B_BASE_MATERIAL
embellish	O
with	O
exot	O
swarovski	O
stone	O
over	O
star	O
shape	O
motif	O
.	O
add	O
thi	O
stun	O
pair	O
of	O
jewelleri	O
in	O
your	O
vaniti	O
today	O
!	O
Do	O
you	O
like	O
watch	O
sunset	O
?	O
the	O
most	O
beauti	O
part	O
of	O
it	O
is	O
the	O
variou	O
shade	O
of	O
orang	B_COLOR
that	O
spread	O
in	O
the	O
sky	O
.	O
tri	O
to	O
captur	O
that	O
shade	O
in	O
thi	O
ear	O
.	O
An	O
outstand	O
shade	O
glass	O
stone	O
dangl	O
below	O
a	O
gold	O
plate	O
branch	O
with	O
a	O
silver	O
earpost	O
.	O
spread	O
your	O
charm	O
wear	O
these	O
purpl	B_AMETHYST_COLOR
colour	O
stud	O
for	O
women	O
from	O
the	O
hous	O
of	O
rosesnribbon	B_BRAND
.	O
made	O
from	O
925	O
sterl	B_BASE_MATERIAL
silver	I_BASE_MATERIAL
,	O
these	O
ear	O
are	O
rhodium	B_PLATING
plate	O
for	O
rust	O
resist	O
and	O
will	O
last	O
for	O
year	O
to	O
come	O
.	O
bewel	O
with	O
high	O
qualiti	O
round	B_AMETHYST_SHAPE
cut	O
amethyst	B_GEMSTONE
these	O
glamor	O
ear	O
are	O
deliv	O
in	O
a	O
beauti	O
handcraft	O
complimentari	O
gift	O
box	O
.	O
present	O
a	O
brand	O
new	O
collect	O
of	O
beauti	O
ginni	O
gold	B_BASE_MATERIAL
diamond	B_GEMSTONE
ear	O
with	O
the	O
pictur	O
of	O
goddess	O
on	O
ginni	O
i	O
.	O
e	O
.	O
the	O
coin	O
.	O
thi	O
pair	O
of	O
9K	O
hallmark	O
gold	B_BASE_MATERIAL
ear	O
ooz	O
tradit	O
and	O
charisma	O
with	O
the	O
blend	O
of	O
goddess	O
diamond	B_GEMSTONE
grand	O
charm	O
.	O
925	O
sterl	B_BASE_MATERIAL
silver	I_BASE_MATERIAL
jhumki	O
with	O
floral	O
pattern	O
have	O
white	O
CZ	O
stone	O
and	O
hang	O
silver	B_COLOR
ball	O
.	O
antiqu	B_FINISH
finish	O
.	O
pair	O
of	O
dangler	B_TYPE
ear	I_TYPE
which	O
are	O
yellow	O
gold	B_COLOR
plat	O
adorn	O
with	O
CZ	O
stone	O
and	O
to	O
give	O
more	O
appeal	O
look	O
to	O
it	O
,	O
it	O
is	O
decor	O
with	O
black	O
color	O
stone	O
to	O
it	O
.	O
pair	O
thi	O
with	O
ani	O
of	O
your	O
outfit	O
for	O
that	O
tradit	O
look	O
.	O
charm	O
and	O
grace	O
,	O
wear	O
thi	O
pair	O
of	O
gold	B_COLOR
plate	O
jhumki	O
pearl	B_GEMSTONE
drop	O
ear	O
.	O
thi	O
floral	O
look	O
pair	O
is	O
adorn	O
with	O
pretti	O
pearl	B_GEMSTONE
bead	O
and	O
red	O
stone	O
that	O
lend	O
you	O
a	O
stun	O
tradit	O
look	O
.	O
stud	O
with	O
handpick	O
,	O
uniform	O
colour	O
pearl	O
.	O
flawless	O
gold	O
plate	O
To	O
make	O
It	O
suitabl	O
for	O
daili	O
wear	O
.	O
smooth	O
push	B_EARRING_BACK_TYPE
back	I_EARRING_BACK_TYPE
mechan	O
.	O
the	O
green	O
meenakari	O
circl	O
further	O
add	O
beauti	O
To	O
thi	O
piec	O
.	O
these	O
beauti	O
gold	O
ear	O
hold	O
66	B_NUMBER_OF_GEMSTONES
diamond	B_GEMSTONE
with	O
a	O
total	O
diamond	B_GEMSTONE
weight	O
of	O
0	B_DIAMOND_WEIGHT
.	I_DIAMOND_WEIGHT
33	I_DIAMOND_WEIGHT
carat	I_DIAMOND_WEIGHT
.	O
product	O
height	O
29	B_HEIGHT
.	I_HEIGHT
3	I_HEIGHT
mm	I_HEIGHT
product	O
width	O
7	B_WIDTH
.	I_WIDTH
7	I_WIDTH
mm	I_WIDTH
diamond	B_GEMSTONE
qualiti	O
VS	B_DIAMOND_CLARITY
GH	B_DIAMOND_COLOR_GRADE
content	O
metal	O
alloy	B_BASE_MATERIAL
.	O
A	O
pair	O
of	O
antiqu	O
gold	O
tone	O
jhumka	O
with	O
intric	O
carv	O
and	O
flawless	O
finish	O
with	O
dome	O
shape	O
jhumka	O
.	O
secur	O
with	O
post	O
back	O
closur	O
.	O
design	O
in	O
american	O
diamond	O
work	O
,	O
thi	O
dangler	B_TYPE
ear	I_TYPE
design	O
is	O
made	O
of	O
lead	O
nickel	O
free	O
,	O
best	O
qualiti	O
alloy	B_BASE_MATERIAL
.	O
thi	O
white	B_COLOR
,	I_COLOR
blue	I_COLOR
colour	O
jewelri	O
design	O
will	O
best	O
meet	O
your	O
colleg	O
parti	O
requir	O
.	O
In	O
term	O
of	O
their	O
back	O
type	O
or	O
lock	O
type	O
,	O
these	O
dangler	B_TYPE
ear	I_TYPE
have	O
a	O
fish	B_EARRING_BACK_TYPE
hook	I_EARRING_BACK_TYPE
type	O
.	O
design	B_COLLECTION
in	O
meenakari	O
work	O
,	O
thi	O
dangler	B_TYPE
ear	I_TYPE
design	B_COLLECTION
is	O
made	O
of	O
lead	O
nickel	O
free	O
,	O
best	O
qualiti	O
brass	B_BASE_MATERIAL
.	O
thi	O
yellow	O
,	O
blue	O
colour	O
jewelri	O
design	B_COLLECTION
will	O
best	O
meet	O
your	O
colleg	O
parti	O
requir	O
.	O
In	O
term	O
of	O
their	O
back	O
type	O
or	O
lock	O
type	O
,	O
these	O
dangler	B_TYPE
ear	I_TYPE
have	O
a	O
fish	O
hook	O
type	O
.	O
exclus	B_MODEL_NAME
handmad	I_MODEL_NAME
kundan	I_MODEL_NAME
jhumki	I_MODEL_NAME
ear	I_MODEL_NAME
with	I_MODEL_NAME
emerald	I_MODEL_NAME
drop	I_MODEL_NAME
theme	O
victorian	O
polish	O
victorian	O
color	O
emerald	O
abhooshan	B_BRAND
present	O
beauti	O
grass	O
green	O
shade	O
round	O
hang	O
made	O
from	O
mother	B_BASE_MATERIAL
of	I_BASE_MATERIAL
pearl	I_BASE_MATERIAL
in	I_BASE_MATERIAL
sterl	I_BASE_MATERIAL
silver	O
.	O
good	O
to	O
go	O
with	O
everi	O
reason	O
and	O
all	O
season	O
.	O
look	O
ador	O
wear	O
these	O
attract	O
antiqu	O
pearl	O
and	O
stone	O
stud	O
ear	O
fascin	O
with	O
mesmer	O
flower	O
pattern	O
on	O
the	O
top	O
with	O
stone	O
,	O
pearl	O
?	O
?	O
and	O
gold	O
tone	O
decor	O
pattern	O
.	O
22ct	O
yellow	B_BASE_MATERIAL
gold	I_BASE_MATERIAL
bali	O
with	O
cubiz	O
zirconia	O
on	O
top	O
to	O
enhanc	O
the	O
design	B_COLLECTION
.	O
22kt	O
gold	O
wt	O
3	B_GOLD_WEIGHT
.	I_GOLD_WEIGHT
850	I_GOLD_WEIGHT
g	I_GOLD_WEIGHT
loop	O
style	O
gold	O
ring	O
ear	O
piec	O
with	O
rubi	O
flower	O
stud	O
creat	O
your	O
differ	O
style	O
statement	O
wear	O
these	O
gorgeou	O
ear	O
from	O
the	O
hous	O
of	O
anuradha	B_BRAND
art	I_BRAND
jewelleri	O
.	O
these	O
stylish	O
dangler	O
are	O
encrust	O
with	O
green	O
orang	O
color	O
stone	O
,	O
they	O
are	O
excel	O
craft	O
from	O
korean	O
metal	B_BASE_MATERIAL
.	O
thi	O
pair	O
of	O
ear	O
will	O
look	O
great	O
when	O
team	O
with	O
match	O
attir	O
.	O
note	O
avoid	O
keep	O
these	O
ear	O
in	O
a	O
velvet	O
box	O
,	O
avoid	O
contact	O
with	O
perfum	O
and	O
water	O
.	O
bring	O
forth	O
your	O
exquisit	O
fashion	O
sens	O
with	O
thi	O
stun	O
pair	B_SALES_PACKAGE
of	I_SALES_PACKAGE
ear	I_SALES_PACKAGE
.	O
craft	O
from	O
plain	O
silver	B_BASE_MATERIAL
;	O
these	O
ear	O
are	O
stud	O
with	O
sparkl	O
and	O
citrin	O
stone	O
that	O
possess	O
an	O
aura	O
of	O
rustic	O
charm	O
.	O
get	O
these	O
ear	O
today	O
!	O
these	O
beauti	O
gold	O
ear	O
hold	O
128	O
diamond	B_GEMSTONE
with	O
a	O
total	O
diamond	B_GEMSTONE
weight	O
of	O
0	B_DIAMOND_WEIGHT
.	I_DIAMOND_WEIGHT
75	I_DIAMOND_WEIGHT
carat	I_DIAMOND_WEIGHT
.	O
product	O
height	O
31	O
mm	O
product	O
width	O
10	O
.	O
7	O
mm	O
diamond	B_GEMSTONE
qualiti	O
SI	B_DIAMOND_CLARITY
GH	B_DIAMOND_COLOR_GRADE
A	O
pair	O
of	O
shine	O
that	O
is	O
glamor	O
elegantli	O
handset	O
with	O
cz'	O
will	O
make	O
you	O
spread	O
the	O
shine	O
!	O
fashion	O
stud	O
with	O
white	B_COLOR
stone	O
and	O
raw	O
metal	O
finish	O
ear	O
piec	O
glitzi	O
and	O
grace	O
,	O
crystal	B_GEMSTONE
are	O
pois	O
and	O
eleg	O
personifi	O
.	O
captur	O
thi	O
essenc	O
,	O
our	O
crystal	B_GEMSTONE
crush	O
collect	O
is	O
all	O
about	O
color	O
and	O
glitteri	O
dainti	O
design	O
.	O
ideal	O
to	O
add	O
the	O
sparkl	O
,	O
the	O
piec	O
will	O
definit	O
becom	O
your	O
glamor	O
go	O
to	O
parti	O
accessori	O
.	O
design	B_COLLECTION
collect	O
.	O
.	O
.	O
.	O
.	O
.	O
eleg	O
antiqu	B_FINISH
jhumki	O
,	O
typic	O
bollywood	O
look	O
and	O
design	B_COLLECTION
.	O
excel	O
design	B_COLLECTION
.	O
good	O
qualiti	O
.	O
artist	O
,	O
design	B_COLLECTION
in	O
gold	O
style	O
base	O
with	O
blend	O
of	O
pink	O
white	O
stone	O
glossi	O
red	O
enamel	O
.	O
latest	O
multi	O
color	O
jhumki	O
ear	O
are	O
beauti	O
stun	O
ad	O
drop	O
of	O
maroon	O
stone	O
at	O
the	O
end	O
of	O
jhumki	O
,	O
make	O
it	O
look	O
'fabulous'	O
.	O
perfect	O
fit	O
for	O
festiv	O
parti	O
religi	O
function	O
engag	O
gift	O
christma	O
annual	O
day	O
get	O
togeth	O
etc	O
.	O
.	O
.	O
.	O
.	O
.	O
stay	O
ahead	O
In	O
fashion	O
with	O
tanya	B_BRAND
fashion	I_BRAND
jewelri	I_BRAND
.	O
At	O
tanya	B_BRAND
fashion	I_BRAND
jewelleri	I_BRAND
we	O
believ	O
that	O
excel	O
is	O
not	O
a	O
destin	O
but	O
a	O
journey	O
and	O
we	O
alway	O
strive	O
to	O
exceed	O
our	O
custom	O
?	O
?	O
?	O
expect	O
and	O
provid	O
the	O
most	O
innov	O
product	O
.	O
At	O
tanya	B_BRAND
fashion	I_BRAND
jewelleri	I_BRAND
we	O
are	O
dedic	O
to	O
a	O
high	O
standard	O
of	O
profession	O
and	O
compet	O
with	O
an	O
aim	O
to	O
provid	O
premium	O
qualiti	O
product	O
and	O
ensur	O
100	O
satisfact	O
to	O
our	O
custom	O
.	O
We	O
are	O
manufactur	O
of	O
high	O
end	O
jewelri	O
,	O
imit	O
and	B_BRAND
fashion	I_BRAND
jewelri	I_BRAND
and	O
have	O
more	O
than	O
2	O
decad	O
of	O
experi	O
in	O
imit	O
jewelri	O
and	O
fashion	O
acc	O
.	O
our	O
product	O
go	O
through	O
strict	O
qualiti	O
test	O
via	O
our	O
expert	O
and	O
the	O
product	O
are	O
despatch	O
under	O
the	O
guidanc	O
and	O
advis	O
of	O
the	O
websit	O
e	O
commerc	O
portal	O
.	O
We	O
ensur	O
correct	O
procedur	O
for	O
pack	O
,	O
packag	O
and	O
despatch	O
of	O
good	O
to	O
our	O
custom	O
,	O
so	O
that	O
they	O
enjoy	O
shop	O
?	O
?	O
?	O
tanya	B_BRAND
fashion	I_BRAND
jewelleri	I_BRAND
?	O
?	O
?	O
product	O
,	O
perhap	O
that	O
is	O
the	O
reason	O
whi	O
we	O
have	O
repeat	O
custom	O
and	O
our	O
custom	O
stick	O
with	O
us	O
and	O
advis	O
our	O
brand	O
to	O
their	O
famili	O
and	O
friend	O
.	O
If	O
you	O
like	O
our	O
brand	O
and	O
our	O
servic	O
,	O
pleas	O
suggest	O
?	O
?	O
?	O
tanya	B_BRAND
fashion	I_BRAND
jewelleri	I_BRAND
?	O
?	O
?	O
to	O
your	O
friend	O
and	O
famili	O
and	O
leav	O
posit	O
feedback	O
to	O
help	O
other	O
on	O
flipkart	O
.	O
If	O
you	O
have	O
a	O
problem	O
,	O
pleas	O
feel	O
free	O
to	O
write	O
to	O
us	O
and	O
we	O
will	O
person	O
get	O
in	O
touch	O
with	O
you	O
and	O
help	O
you	O
with	O
your	O
concern	O
.	O
fresh	O
,	O
feminin	O
and	O
flirti	O
!	O
give	O
your	O
favorit	O
girl	O
ear	O
she	O
will	O
wear	O
again	O
and	O
again	O
.	O
these	O
fun	O
ear	O
featur	O
0	O
.	O
88	O
ct	O
bright	O
cubic	B_GEMSTONE
zirconia	I_GEMSTONE
.	O
craft	O
in	O
925	O
sterl	B_BASE_MATERIAL
silver	I_BASE_MATERIAL
,	O
glitter	O
cz	O
accent	O
grace	O
the	O
petal	O
and	O
add	O
more	O
shimmer	O
style	O
.	O
0	O
.	O
79	O
ct	O
sparkl	B_BRAND
diamond	B_GEMSTONE
ear	O
in	O
gold	B_BASE_MATERIAL
real	O
diamond	B_GEMSTONE
A	O
round	O
and	O
teardrop	O
crystal	O
with	O
a	O
dot	O
silver	B_BASE_MATERIAL
framework	O
made	O
by	O
hand	O
will	O
remind	O
you	O
of	O
the	O
mughal	O
day	O
design	O
in	O
stone	O
work	O
,	O
thi	O
cuff	B_TYPE
ear	I_TYPE
design	O
is	O
made	O
of	O
lead	O
nickel	O
free	O
,	O
best	O
qualiti	O
copper	B_BASE_MATERIAL
.	O
thi	O
white	B_COLOR
,	I_COLOR
gold	I_COLOR
colour	O
jewelri	O
design	O
will	O
best	O
meet	O
your	O
wed	O
festiv	O
requir	O
.	O
In	O
term	O
of	O
their	O
back	O
type	O
or	O
lock	O
type	O
,	O
these	O
cuff	B_TYPE
ear	I_TYPE
have	O
a	O
push	B_EARRING_BACK_TYPE
back	I_EARRING_BACK_TYPE
type	O
.	O
grace	O
littl	O
kundan	O
pearl	O
stud	B_TYPE
ear	I_TYPE
to	O
make	O
you	O
look	O
special	O
everywher	O
.	O
with	O
beauti	O
pearl	O
set	O
in	O
a	O
flower	O
design	O
thi	O
ear	O
ooz	O
eleg	O
.	O
grab	O
it	O
now	O
!	O
love	O
you	O
So	O
much	O
,	O
If	O
that	O
?	O
?	O
?	O
s	O
what	O
you	O
want	O
to	O
express	O
,	O
thi	O
is	O
a	O
perfect	O
heart	O
shape	O
diamond	B_GEMSTONE
pair	O
of	O
ear	O
.	O
lot	O
of	O
love	O
,	O
and	O
affect	O
.	O
get	O
glamor	O
by	O
adorn	O
these	O
beauti	O
stud	O
in	O
6x8mm	O
amethyst	B_GEMSTONE
from	O
the	O
jewelina	B_BRAND
gem	I_BRAND
collect	O
.	O
the	O
stud	O
are	O
made	O
of	O
sterl	O
silver	B_BASE_MATERIAL
and	O
it	O
gross	O
weight	O
is	O
1	B_NUMBER_OF_PAIRS
.	O
75gm	O
.	O
the	O
stud	O
are	O
secur	O
with	O
a	O
push	O
post	O
clasp	O
.	O
gold	O
plate	O
dangl	O
drop	O
ear	O
with	O
swarovski	O
stone	O
along	O
with	O
A	O
hang	O
gemston	O
eye	O
catch	O
and	O
eleg	O
,	O
these	O
diamond	B_GEMSTONE
fashion	O
stud	B_TYPE
ear	I_TYPE
elev	O
ani	O
attir	O
.	O
fashion	O
In	O
18k	O
yellow	B_BASE_MATERIAL
gold	I_BASE_MATERIAL
,	O
these	O
ear	O
featur	O
A	O
round	B_DIAMOND_SHAPE
champagn	O
diamond	B_GEMSTONE
center	O
stone	O
surround	O
By	O
A	O
squar	B_MODEL_NAME
frame	O
set	O
with	O
smaller	O
accent	O
diamond	B_GEMSTONE
.	O
polish	O
To	O
A	O
brilliant	O
shine	O
,	O
these	O
1	B_NUMBER_OF_PAIRS
2	O
Ct	O
.	O
diamond	B_GEMSTONE
ear	O
are	O
design	B_COLLECTION
To	O
dazzl	O
and	O
delight	O
.	O
the	O
halo	O
style	O
stud	O
secur	O
comfort	O
with	O
screw	B_EARRING_BACK_TYPE
back	O
.	O
anuradha	B_BRAND
art	I_BRAND
jewelleri	O
offer	O
these	O
green	B_COLOR
color	O
sizzl	O
ear	O
for	O
fashion	O
women	O
.	O
they	O
are	O
embed	O
with	O
sparkl	O
stone	O
craft	O
from	O
korean	O
metal	B_BASE_MATERIAL
.	O
these	O
dangler	O
will	O
look	O
good	O
with	O
all	O
type	O
of	O
attir	O
.	O
they	O
are	O
light	O
in	O
weight	O
skin	O
friendli	O
.	O
beauti	O
craft	O
rose	O
design	O
red	B_COLOR
color	O
ear	O
ring	O
are	O
craft	O
to	O
enhanc	O
a	O
relax	O
and	O
carefre	O
look	O
.	O
made	O
from	O
alloy	B_BASE_MATERIAL
,	O
these	O
ear	O
have	O
a	O
fabul	O
finish	O
and	O
are	O
safe	O
for	O
your	O
sensit	O
skin	O
.	O
sparkl	B_BRAND
0	O
.	O
39ct	O
diamond	B_GEMSTONE
ear	O
in	O
18	O
Kt	O
gold	B_BASE_MATERIAL
real	O
diamond	B_GEMSTONE
these	O
beauti	O
gold	O
ear	O
hold	O
76	B_NUMBER_OF_GEMSTONES
diamond	B_GEMSTONE
with	O
a	O
total	O
diamond	B_GEMSTONE
weight	O
of	O
0	O
.	O
25	O
carat	O
.	O
product	O
height	O
21	B_HEIGHT
mm	I_HEIGHT
product	O
width	O
4	B_WIDTH
.	I_WIDTH
4	I_WIDTH
mm	I_WIDTH
diamond	B_GEMSTONE
qualiti	O
SI	B_DIAMOND_CLARITY
GH	B_DIAMOND_COLOR_GRADE
ear	O
length	O
5	O
Cm	O
,	O
width	O
2	O
.	O
5	O
Cm	O
,	O
weight	O
25	O
gram	O
.	O
materi	O
brass	O
alloy	B_BASE_MATERIAL
,	O
color	O
black	B_COLOR
glass	O
